,item,pos,PosScore,NegScore,total_score
45,abenteuer,v,0.25,-0.125,0.125
46,abenteuerlich,a,0.625,-0.25,0.375
47,abenteuerlust,n,0.188,-0.125,0.062
48,abfahrt,n,0.0,-0.312,-0.312
49,abfall,v,0.0,-0.125,-0.125
50,abfallen,v,0.0,-0.469,-0.469
51,abfällig,a,0.083,-0.5,-0.41700000000000004
52,abfliegen,v,0.0,-0.125,-0.125
53,abfließen,n,0.0,-0.125,-0.125
54,abfrage,v,0.125,-0.125,0.0
55,abfrager,n,0.0,-0.75,-0.75
56,abfuhr,v,0.062,-0.5,-0.43799999999999994
57,abführmittel,n,0.125,-0.33299999999999996,-0.20800000000000002
58,abgabe,n,0.375,-0.125,0.25
59,abgebildet,a,0.125,-0.125,0.0
60,abgebrochen,a,0.0,-0.375,-0.375
61,abgedroschen,a,0.0,-0.375,-0.375
62,abgeflacht,a,0.375,-0.0,0.375
63,abgeglichen,a,0.125,-0.0,0.125
64,abgehackt,a,0.188,-0.312,-0.125
65,abgehend,a,0.125,-0.125,0.0
66,abgelehnt,a,0.0,-0.5,-0.5
67,abgelenkt,r,0.125,-0.125,0.0
68,abgemagert,v,0.125,-0.125,0.0
69,abgeneigt,a,0.062,-0.688,-0.625
70,abgenutzt,a,0.10400000000000001,-0.20800000000000002,-0.10400000000000001
71,abgenutzte stelle,n,0.0,-0.125,-0.125
72,abgereist,a,0.042,-0.375,-0.33299999999999996
73,abgerieben,a,0.0,-0.125,-0.125
74,abgesägt,a,0.125,-0.5,-0.375
75,abgeschirmt,a,0.0,-0.625,-0.625
76,abgeschnitten,n,0.125,-0.188,-0.062
77,abgeschwächt,a,0.0,-0.375,-0.375
78,abgestanden,n,0.0,-0.5,-0.5
79,abgestimmt,a,0.125,-0.0,0.125
80,abgestumpft,a,0.083,-0.16699999999999998,-0.083
81,abgetragen,a,0.0,-0.125,-0.125
82,abgewägt,a,0.125,-0.0,0.125
83,abgewertet,a,0.0,-0.125,-0.125
84,abgewickelt,a,0.0,-0.5,-0.5
85,abgrundtief,r,0.0,-0.75,-0.75
86,abhängig,a,0.0,-0.375,-0.375
87,abheben,v,0.083,-0.125,-0.042
88,abiotrophie,n,0.125,-0.375,-0.25
89,abkanzelung,n,0.0,-0.75,-0.75
90,ablassen,v,0.0,-0.25,-0.25
91,ablatieren,v,0.0,-0.125,-0.125
92,ablauf,n,0.0,-0.25,-0.25
93,ableben,v,0.125,-0.312,-0.188
94,ablehnen,v,0.019,-0.377,-0.359
95,ablehnend,a,0.125,-0.5,-0.375
96,ablehnung,n,0.0,-0.188,-0.188
97,ableitung,a,0.0,-0.25,-0.25
98,ablenken,v,0.0,-0.292,-0.292
99,ablenker,n,0.0,-0.5,-0.5
100,ablenkung,n,0.027999999999999997,-0.368,-0.341
101,ablenkungsmanöver,n,0.125,-0.125,0.0
102,ablösung,n,0.125,-0.25,-0.125
103,abmagerung,n,0.0,-0.5,-0.5
104,abnehmbar,a,0.312,-0.031,0.282
105,abnehmend,a,0.125,-0.25,-0.125
106,abneigung,n,0.125,-0.583,-0.45799999999999996
107,abnutzen,v,0.125,-0.25,-0.125
108,abortiv,a,0.0,-0.25,-0.25
109,abplatzer,n,0.0,-0.25,-0.25
110,abrasivität,n,0.444,-0.556,-0.11199999999999999
111,abreagieren,v,0.0,-0.875,-0.875
112,abreißen,v,0.062,-0.375,-0.312
113,abrieb,n,0.0,-0.125,-0.125
114,abringen,v,0.0,-0.75,-0.75
115,absatz,v,0.25,-0.0,0.25
116,abschaum,n,0.0,-0.25,-0.25
117,abschäumer,n,0.0,-0.25,-0.25
118,abscheu,n,0.047,-0.45299999999999996,-0.406
119,abscheulich,a,0.06,-0.54,-0.48
120,abscheulichkeit,n,0.25,-0.708,-0.45799999999999996
121,abschieben,v,0.042,-0.41700000000000004,-0.375
122,abschiebung,n,0.0,-0.125,-0.125
123,abschlagen,v,0.0,-0.5,-0.5
124,abschleifen,v,0.0,-0.125,-0.125
125,abschleppen,v,0.0,-0.875,-0.875
126,abschleppwagen,n,0.0,-0.5,-0.5
127,abschließen,v,0.125,-0.0,0.125
128,abschluss,n,0.125,-0.042,0.083
129,abschöpfen,v,0.25,-0.0,0.25
130,abschrecken,v,0.16699999999999998,-0.20800000000000002,-0.042
131,abschreckend,n,0.125,-0.312,-0.188
132,abschreckung,n,0.0,-0.203,-0.203
133,abschreiben,v,0.094,-0.125,-0.031
134,abschreibend,a,0.125,-0.5,-0.375
135,abschreiber,n,0.125,-0.125,0.0
136,abschreibung,n,0.125,-0.0,0.125
137,abschwächen,v,0.156,-0.156,-0.0
138,abschweifen,v,0.0,-0.125,-0.125
139,abschweifend,a,0.375,-0.25,0.125
140,abschweifung,n,0.0,-0.125,-0.125
141,abschwören,v,0.0,-0.625,-0.625
142,abschwörung,n,0.0,-0.625,-0.625
143,absehbar,a,0.25,-0.0,0.25
144,abseihen,v,0.0,-0.625,-0.625
145,abseits leiten,v,0.16699999999999998,-0.45799999999999996,-0.292
146,absicht,n,0.25,-0.188,0.062
147,absichtlich,r,0.20800000000000002,0.0,0.20800000000000002
148,absolut,a,0.25,-0.312,-0.062
149,absoluter alkohol,n,0.125,-0.375,-0.25
150,absolutheit,n,0.5,-0.125,0.375
151,absolutismus,n,0.0,-0.375,-0.375
152,absolvent,v,0.25,-0.0,0.25
153,absolvierte,a,0.125,-0.0,0.125
154,absonderlichkeit,n,0.375,-0.0,0.375
155,absorbieren,v,0.25,-0.0,0.25
156,absorbierend,a,0.375,-0.0,0.375
157,absorbiert,a,0.125,-0.25,-0.125
158,absorption,n,0.125,-0.312,-0.188
159,absperren,v,0.0,-0.375,-0.375
160,abspielen,v,0.25,-0.0,0.25
161,abspulen,v,0.125,-0.0,0.125
162,absteige,n,0.0,-0.125,-0.125
163,absterben,v,0.042,-0.20800000000000002,-0.16699999999999998
164,abstieg,n,0.0,-0.625,-0.625
165,abstimmung,v,0.125,0.0,0.125
166,abstinent,n,0.0,-0.625,-0.625
167,abstoßen,v,0.09699999999999999,-0.653,-0.555
168,abstoßend,a,0.125,-0.514,-0.389
169,abstoßung,n,0.062,-0.375,-0.312
170,abstrakt,v,0.0,-0.125,-0.125
171,abstraktheit,n,0.125,-0.125,0.0
172,abstrich,v,0.05,-0.237,-0.187
173,abstrus,r,0.0,-0.25,-0.25
174,abstrusität,n,0.375,-0.5,-0.125
175,absturz,v,0.0,-0.21899999999999997,-0.21899999999999997
176,abstürzen,a,0.125,-0.25,-0.125
177,absurd,a,0.0,-0.625,-0.625
178,absurdität,n,0.125,-0.375,-0.25
179,abszess,a,0.0,-0.5,-0.5
180,abtreibung,v,0.125,-0.708,-0.583
181,abwandern,v,0.0,-0.375,-0.375
182,abwarten,v,0.125,-0.125,0.0
183,abwechslungsreich,a,0.125,-0.25,-0.125
184,abwehr,v,0.0,-0.688,-0.688
185,abwehren,v,0.0,-0.312,-0.312
186,abweichen,v,0.20800000000000002,-0.083,0.125
187,abweichend,a,0.0,-0.365,-0.365
188,abweichung,n,0.078,-0.125,-0.047
189,abweichungen,n,0.0,-0.25,-0.25
190,abweisbar,a,0.0,-0.125,-0.125
191,abweisend,n,0.20800000000000002,-0.489,-0.281
192,abwendung,n,0.5,-0.0,0.5
193,abwerten,v,0.0,-0.375,-0.375
194,abwertend,a,0.055,-0.49200000000000005,-0.43799999999999994
195,abwertung,n,0.125,-0.0,0.125
196,abwesend,n,0.083,-0.542,-0.45799999999999996
197,abwesenheit,n,0.125,-0.125,0.0
198,abwesenheit ohne urlaub,n,0.0,-0.25,-0.25
199,abwesenheitsquote,n,0.0,-0.5,-0.5
200,abwimmeln,n,0.0,-0.25,-0.25
201,abwürgen,n,0.0,-0.125,-0.125
202,abzeichen,n,0.375,-0.0,0.375
203,abziehen,v,0.125,-0.0,0.125
204,abzocke,n,0.0,-0.125,-0.125
205,acanthocephalan,n,0.0,-0.25,-0.25
206,acanthosis nigricans,n,0.125,-0.25,-0.125
207,acedia,n,0.125,-0.125,0.0
208,acetin,n,0.0,-0.125,-0.125
209,acetonurie,n,0.0,-0.5,-0.5
210,acetös,a,0.0,-0.25,-0.25
211,acetose,a,0.0,-0.25,-0.25
212,acheronian,a,0.0,-0.125,-0.125
213,acherontisch,a,0.0,-0.125,-0.125
214,achlorhydric,a,0.125,-0.375,-0.25
215,achondroplasie,n,0.0,-0.5,-0.5
216,achondroplastisch,a,0.0,-0.125,-0.125
217,achromatisch,a,0.25,-0.375,-0.125
218,achromatische farbe,n,0.0,-0.125,-0.125
219,ächten,v,0.0,-0.25,-0.25
220,achtlos,a,0.083,-0.43700000000000006,-0.354
221,achtsam,r,0.442,0.0,0.442
222,achtsamkeit,n,0.375,0.0,0.375
223,achtung,v,0.015,-0.34299999999999997,-0.32799999999999996
224,ächtung,n,0.0,-0.125,-0.125
225,aciclovir,n,0.0,-0.5,-0.5
226,acidophilus,n,0.0,-0.125,-0.125
227,acidophilus milch,n,0.0,-0.125,-0.125
228,ackern,v,0.0,-0.25,-0.25
229,acrylamid,n,0.0,-0.125,-0.125
230,actinomyces,n,0.0,-0.125,-0.125
231,actinomyxidia,n,0.25,-0.25,0.0
232,actinomyxidian,n,0.25,-0.25,0.0
233,acylglycerin,n,0.125,-0.125,0.0
234,ad infinitum,r,0.0,-0.5,-0.5
235,ad lib,a,0.0,-0.562,-0.562
236,adactylia,n,0.0,-0.5,-0.5
237,adaktylisch,a,0.0,-0.125,-0.125
238,adaktylismus,n,0.0,-0.5,-0.5
239,addieren,v,0.375,-0.0,0.375
240,addle-kopf,n,0.0,-0.25,-0.25
241,addlehead,n,0.0,-0.25,-0.25
242,adelges abietis,n,0.0,-0.125,-0.125
243,adelges piceae,n,0.0,-0.125,-0.125
244,adenitis,n,0.0,-0.5,-0.5
245,adenokarzinom,n,0.0,-0.125,-0.125
246,adenomyosarkom,n,0.125,-0.25,-0.125
247,adenomyose,n,0.0,-0.25,-0.25
248,adhs,n,0.0,-0.375,-0.375
249,adiantum bellum,n,0.0,-0.25,-0.25
250,adipinsäure,n,0.0,-0.125,-0.125
251,aditi,n,0.25,-0.375,-0.125
252,adonis,n,0.188,-0.0,0.188
253,adrett,r,0.5,-0.0,0.5
254,adstringenz,n,0.0,-0.125,-0.125
255,adstringierend,a,0.125,-0.312,-0.188
256,advil,n,0.0,-0.25,-0.25
257,adynamie,n,0.0,-0.5,-0.5
258,adynamisch,a,0.0,-0.562,-0.562
259,aepyorniformes,n,0.0,-0.125,-0.125
260,aerobacter,n,0.25,-0.25,0.0
261,af,slang,0.0,-0.125,-0.125
262,affäre,n,0.25,-0.188,0.062
263,affe,v,0.031,-0.239,-0.20800000000000002
264,affektive störung,n,0.125,-0.625,-0.5
265,affengeil,a,0.875,-0.125,0.75
266,affinität,n,0.2,-0.15,0.05
267,afibrinogenämie,n,0.0,-0.5,-0.5
268,aflaxen,n,0.0,-0.125,-0.125
269,afrikanischer monitor,n,0.0,-0.25,-0.25
270,afrikanisches krokodil,n,0.0,-0.125,-0.125
271,afro,n,0.125,-0.125,0.0
272,afro-frisur,n,0.125,-0.125,0.0
273,afro-perücke,n,0.0,-0.25,-0.25
274,against,r,0.0,-0.375,-0.375
275,agalaktie,n,0.0,-0.5,-0.5
276,agalaktose,n,0.0,-0.5,-0.5
277,agavenkantala,n,0.0,-0.125,-0.125
278,agenesie,n,0.0,-0.125,-0.125
279,agglutinationstest,n,0.0,-0.25,-0.25
280,aggravator,n,0.0,-0.25,-0.25
281,aggregat,n,0.125,-0.125,0.0
282,aggression,n,0.125,-0.344,-0.21899999999999997
283,aggressiv,v,0.0,-0.43799999999999994,-0.43799999999999994
284,aggressivität,n,0.125,-0.375,-0.25
285,aggro,n,0.0,-0.375,-0.375
286,agil,a,0.375,-0.0,0.375
287,agitativ,a,0.125,-0.625,-0.5
288,agnatha,n,0.0,-0.25,-0.25
289,agnathan,n,0.0,-0.5,-0.5
290,agnes gonxha bojaxhiu,n,0.0,-0.25,-0.25
291,agnosie,n,0.25,-0.5,-0.25
292,agonadal,a,0.125,-0.25,-0.125
293,agonal,a,0.0,-0.25,-0.25
294,agonistisch,a,0.0,-0.25,-0.25
295,agranulose,n,0.0,-0.5,-0.5
296,agranulozytisch,a,0.0,-0.25,-0.25
297,agranulozytose,n,0.0,-0.5,-0.5
298,agrapha,n,0.0,-0.5,-0.5
299,agromanie,n,0.125,-0.25,-0.125
300,ahistorisch,a,0.0,-0.375,-0.375
301,ähnlich,a,0.237,-0.188,0.05
302,ähnlichkeit,n,0.188,-0.25,-0.062
303,ahnungslos,a,0.10400000000000001,-0.604,-0.5
304,ailurophobie,n,0.125,-0.125,0.0
305,airedale,n,0.0,-0.125,-0.125
306,airedale terrier,n,0.0,-0.125,-0.125
307,airheaded,a,0.0,-0.5,-0.5
308,akademisch,a,0.25,-0.312,-0.062
309,akanthozyten,n,0.0,-0.125,-0.125
310,akanthozytose,n,0.0,-0.125,-0.125
311,akardie,n,0.0,-0.5,-0.5
312,akarophobie,n,0.0,-0.125,-0.125
313,akatalektisch,n,0.062,-0.25,-0.188
314,akataphasie,n,0.0,-0.5,-0.5
315,akklimatisieren,v,0.0,-0.375,-0.375
316,akkord,v,0.062,-0.062,0.0
317,akkretionär,a,0.0,-0.375,-0.375
318,akkretiv,a,0.0,-0.25,-0.25
319,akne,n,0.0,-0.625,-0.625
320,akne rosacea,n,0.0,-0.375,-0.375
321,akneiform,a,0.125,-0.375,-0.25
322,akribisch,a,0.25,-0.375,-0.125
323,akrobatisch,a,0.375,-0.0,0.375
324,aktion,n,0.156,-0.031,0.125
325,aktiv,r,0.375,-0.10099999999999999,0.27399999999999997
326,aktive immunität,n,0.125,-0.0,0.125
327,aktivieren,v,0.375,-0.125,0.25
328,aktivierung,n,0.375,-0.25,0.125
329,aktivität,n,0.10400000000000001,-0.021,0.083
330,aktualisierung,n,0.318,0.0,0.318
331,aktualität,n,0.125,0.0,0.125
332,aktuell,r,0.188,0.0,0.188
333,akupunktur,n,0.125,-0.25,-0.125
334,akustik,n,0.125,-0.0,0.125
335,akustisch,r,0.375,-0.0,0.375
336,akut,r,0.125,-0.312,-0.188
337,akzent,n,0.43799999999999994,-0.0,0.43799999999999994
338,akzeptabel,a,0.406,-0.042,0.364
339,akzeptanz,n,0.5,-0.25,0.25
340,akzeptieren,v,0.3,-0.075,0.225
341,akzeptiert,a,0.5,-0.0,0.5
342,alabastrin,a,0.125,-0.125,0.0
343,alarm,n,0.0,-0.125,-0.125
344,alarmierend,a,0.0,-0.5,-0.5
345,alarmiert,a,0.0,-0.625,-0.625
346,alarmierung,n,0.0,-0.125,-0.125
347,alarmismus,n,0.0,-0.125,-0.125
348,alarmist,n,0.0,-0.125,-0.125
349,alary,a,0.0,-0.125,-0.125
350,albern,a,0.375,-0.20800000000000002,0.16699999999999998
351,albernheit,n,0.43799999999999994,-0.188,0.25
352,albinal,a,0.0,-0.5,-0.5
353,albinisch,a,0.0,-0.5,-0.5
354,albinismus,n,0.0,-0.625,-0.625
355,albinistisch,a,0.0,-0.5,-0.5
356,albinotisch,a,0.0,-0.5,-0.5
357,albtraum,n,0.125,-0.43799999999999994,-0.312
358,albugo,n,0.0,-0.5,-0.5
359,albuminurie,n,0.0,-0.5,-0.5
360,alcalescent,a,0.125,-0.375,-0.25
361,aldacton,n,0.0,-0.25,-0.25
362,aldolreaktion,n,0.0,-0.125,-0.125
363,aleph-nichts,n,0.0,-0.125,-0.125
364,aleph-null,n,0.0,-0.125,-0.125
365,aleppo kochen,n,0.0,-0.5,-0.5
366,aleve,n,0.0,-0.125,-0.125
367,alge,n,0.0,-0.25,-0.25
368,algebra,n,0.0,-0.125,-0.125
369,algen,n,0.0,-0.25,-0.25
370,algoid,a,0.25,-0.25,0.0
371,algolagnia,n,0.0,-0.625,-0.625
372,algolagnisch,a,0.0,-0.125,-0.125
373,algometrie,n,0.0,-0.25,-0.25
374,algophilie,n,0.0,-0.625,-0.625
375,algophobie,n,0.0,-0.625,-0.625
376,algorithmusfehler,n,0.0,-0.5,-0.5
377,alibi,n,0.0,-0.188,-0.188
378,alienismus,n,0.125,-0.43799999999999994,-0.312
379,alienist,n,0.0,-0.25,-0.25
380,aliquant,n,0.0,-0.625,-0.625
381,aliquanter teil,n,0.0,-0.625,-0.625
382,aliquot,n,0.125,-0.125,0.0
383,aliquot teil,n,0.125,-0.125,0.0
384,alizaringelb,n,0.0,-0.625,-0.625
385,alkalämie,n,0.0,-0.5,-0.5
386,alkaleszierend,a,0.125,-0.375,-0.25
387,alkaliliebend,a,0.0,-0.25,-0.25
388,alkalivergiftung,n,0.0,-0.5,-0.5
389,alkalose,n,0.0,-0.25,-0.25
390,alkoholabhängigkeit,n,0.125,-0.125,0.0
391,alkoholisieren,v,0.0,-0.21899999999999997,-0.21899999999999997
392,alkoholismus,n,0.125,-0.125,0.0
393,alkohollöslich,a,0.0,-0.125,-0.125
394,allein,a,0.25,-0.16699999999999998,0.083
395,alleingang,r,0.0,-0.125,-0.125
396,alleinsein,n,0.125,-0.625,-0.5
397,allerbesten,r,0.625,-0.0,0.625
398,allergie,n,0.0,-0.125,-0.125
399,allergisch,a,0.0,-0.43799999999999994,-0.43799999999999994
400,allerheiligstes,n,0.0,-0.125,-0.125
401,alleskönner,n,0.125,-0.0,0.125
402,allgemeinwissen,n,0.5,-0.0,0.5
403,allheilmittel,n,0.125,-0.0,0.125
404,allmächtig,a,0.125,0.0,0.125
405,allmählich,a,0.125,-0.625,-0.5
406,allometrisch,a,0.125,-0.125,0.0
407,allopathie,n,0.25,-0.25,0.0
408,allopurinol,n,0.0,-0.125,-0.125
409,alltäglich,a,0.21899999999999997,-0.188,0.031
410,alltäglichkeit,n,0.43799999999999994,-0.188,0.25
411,allumfassend,a,0.375,-0.0,0.375
412,allwissend,a,0.5,-0.0,0.5
413,allwissenheit,n,0.125,-0.0,0.125
414,almosen,n,0.0,-0.5,-0.5
415,alpinismus,n,0.0,-0.5,-0.5
416,alt,a,0.0,-0.125,-0.125
417,altbewährt,a,0.375,-0.0,0.375
418,altehrwürdig,a,0.5,0.0,0.5
419,altersdemenz,n,0.0,-0.375,-0.375
420,altersgemeinschaft,n,0.125,-0.0,0.125
421,altersschwach,a,0.188,-0.375,-0.188
422,altersschwäche,n,0.125,-0.5,-0.375
423,älteste,a,0.275,-0.125,0.35
424,altklug,r,0.25,-0.0,0.25
425,altmodisch,r,0.25,-0.0,0.25
426,altruismus,n,0.75,-0.0,0.75
427,altruistisch,r,0.562,0.0,0.562
428,aluminium oxid,n,0.0,-0.125,-0.125
429,aluminiumoxid,n,0.0,-0.125,-0.125
430,alysia,n,0.0,-0.125,-0.125
431,alzheimer,n,0.0,-0.125,-0.125
432,alzheimer-erkrankung,n,0.0,-0.125,-0.125
433,amateur,n,0.25,-0.344,-0.094
434,amateurhaft,a,0.0,-0.375,-0.375
435,ambagen,n,0.0,-0.125,-0.125
436,ambition,n,0.41700000000000004,-0.042,0.375
437,ambivalent,a,0.0,-0.125,-0.125
438,ambivalenz,n,0.25,-0.375,-0.125
439,ambulant,n,0.0,-0.5,-0.5
440,ambulieren,v,0.0,-0.625,-0.625
441,ameban,a,0.0,-0.125,-0.125
442,ameisenwürger,n,0.25,-0.25,0.0
443,amentia,n,0.25,-0.375,-0.125
444,amercement,n,0.0,-0.125,-0.125
445,amerciable,a,0.0,-0.125,-0.125
446,amerikanischer käse,n,0.0,-0.125,-0.125
447,ametabolous,a,0.125,-0.25,-0.125
448,amethystin,a,0.125,-0.125,0.0
449,amia,n,0.0,-0.125,-0.125
450,amianthum muscaetoxicum,n,0.0,-0.125,-0.125
451,amianthum muscitoxicum,n,0.0,-0.125,-0.125
452,amigo,n,0.25,-0.0,0.25
453,amitose,n,0.25,-0.25,0.0
454,ammodyten,n,0.0,-0.125,-0.125
455,ammonifizieren,v,0.0,-0.125,-0.125
456,ammonit,n,0.125,-0.125,0.0
457,ammonoid,n,0.125,-0.125,0.0
458,amnesie,n,0.0,-0.375,-0.375
459,amnesische aphasie,n,0.0,-0.5,-0.5
460,amnestische aphasie,n,0.0,-0.5,-0.5
461,amöbe,a,0.0,-0.125,-0.125
462,amöben,a,0.0,-0.125,-0.125
463,amöbisch,a,0.0,-0.125,-0.125
464,amöboid,a,0.0,-0.125,-0.125
465,amok,r,0.0,-0.625,-0.625
466,amoklauf,v,0.25,-0.5,-0.25
467,amoralismus,n,0.125,-0.75,-0.625
468,amoralist,n,0.125,-0.75,-0.625
469,amoralität,n,0.222,-0.778,-0.556
470,amorph,a,0.125,-0.562,-0.43799999999999994
471,amorphe form,n,0.25,-0.25,0.0
472,amphisbaenia,n,0.0,-0.125,-0.125
473,amplitude,n,0.062,-0.062,0.0
474,amplitudenverzerrung,n,0.0,-0.5,-0.5
475,ampulle,n,0.0,-0.5,-0.5
476,amputation,n,0.0,-0.125,-0.125
477,amtierend,a,0.0,-0.125,-0.125
478,amüsant,r,0.625,0.0,0.625
479,amüsiert,v,0.75,-0.0,0.75
480,amyotonie,n,0.0,-0.5,-0.5
481,an unechten,a,0.0,-0.25,-0.25
482,anacanthini,n,0.0,-0.5,-0.5
483,anaglyphe,n,0.0,-0.5,-0.5
484,analbuminämie,n,0.0,-0.5,-0.5
485,analphabet,n,0.0,-0.235,-0.235
486,analphabetenperson,n,0.0,-0.5,-0.5
487,analysiert,a,0.125,-0.0,0.125
488,analytisch,a,0.125,0.0,0.125
489,anapaest,n,0.0,-0.125,-0.125
490,anapest,n,0.0,-0.125,-0.125
491,anaphrodisie,n,0.25,-0.375,-0.125
492,anaprox,n,0.0,-0.125,-0.125
493,anarchisch,a,0.0,-0.5,-0.5
494,anarchistisch,a,0.125,-0.25,-0.125
495,anarhichas,n,0.0,-0.125,-0.125
496,anasa,n,0.0,-0.125,-0.125
497,anästhesierend,a,0.0,-0.5,-0.5
498,anathematisieren,v,0.125,-0.25,-0.125
499,anbaubar,a,0.5,-0.0,0.5
500,anbeter,n,0.16699999999999998,-0.125,0.042
501,anbetrachtung,n,0.125,-0.0,0.125
502,anbetung,v,0.5,-0.20800000000000002,0.292
503,anbringbar,a,0.5,-0.0,0.5
504,anchylose,n,0.0,-0.125,-0.125
505,andacht,n,0.125,-0.125,0.0
506,andächtig,a,0.625,-0.062,0.562
507,andenken,n,0.125,-0.0,0.125
508,änderbar,a,0.43799999999999994,-0.188,0.25
509,ändern,v,0.0,-0.25,-0.25
510,anderssein,n,0.375,-0.375,0.0
511,änderung,n,0.0,-0.125,-0.125
512,anecken,a,0.0,-0.5,-0.5
513,aneignung,n,0.25,-0.0,0.25
514,anekdotisch,a,0.375,-0.125,0.25
515,anerkannt,a,0.396,0.0,0.396
516,anerkennbar,a,0.625,-0.0,0.625
517,anerkennend,r,0.25,-0.0,0.25
518,anerkennung,n,0.386,-0.062,0.32299999999999995
519,aneroidbarometer,n,0.0,-0.125,-0.125
520,aneurysma,n,0.0,-0.375,-0.375
521,anfall,n,0.0,-0.375,-0.375
522,anfallend,a,0.0,-0.25,-0.25
523,anfällig,a,0.0,-0.375,-0.375
524,anfälligkeit,n,0.125,-0.25,-0.125
525,anfang,n,0.125,0.0,0.125
526,anfänger,n,0.0,-0.25,-0.25
527,anfangszeit,n,0.125,-0.0,0.125
528,anfassen,v,0.062,-0.062,0.0
529,anfechtbar,a,0.625,-0.0,0.625
530,anfechten,v,0.0,-0.625,-0.625
531,anfechtung,n,0.5,-0.0,0.5
532,anforderung,n,0.125,-0.062,0.062
533,anfrage,v,0.188,-0.125,0.062
534,anfragen,v,0.188,-0.062,0.125
535,anfügbar,a,0.5,-0.0,0.5
536,anfügen,v,0.125,-0.0,0.125
537,angeben,v,0.0,-0.375,-0.375
538,angeber,n,0.062,-0.125,-0.062
539,angeblich,a,0.021,-0.20800000000000002,-0.188
540,angeboren,a,0.094,-0.281,-0.188
541,angeborene krankheit,n,0.125,-0.25,-0.125
542,angebot,v,0.156,0.0,0.156
543,angebracht,a,0.125,-0.0,0.125
544,angefressen,a,0.0,-0.625,-0.625
545,angehoben,a,0.0,-0.125,-0.125
546,angelehnt,a,0.0,-0.125,-0.125
547,angelernte,a,0.625,-0.0,0.625
548,angemessen,a,0.312,-0.01,0.302
549,angemessene,a,0.188,-0.188,0.0
550,angemessenheit,n,0.43200000000000005,-0.151,0.281
551,angenehm,r,0.42,-0.07,0.349
552,angenehmer,n,0.75,-0.0,0.75
553,angenehmheit,n,0.75,0.0,0.75
554,angepasst,a,0.188,-0.188,0.0
555,angeregt,a,0.25,-0.375,-0.125
556,angesicht zu angesicht,r,0.062,-0.375,-0.312
557,angespannt,a,0.125,-0.33299999999999996,-0.20800000000000002
558,angesprochen,a,0.125,-0.0,0.125
559,angestellt,a,0.25,-0.0,0.25
560,angetrieben,a,0.125,-0.0,0.125
561,angewidert,a,0.125,-0.625,-0.5
562,angina,n,0.0,-0.625,-0.625
563,angiohämophilie,n,0.125,-0.25,-0.125
564,angioplastie,n,0.0,-0.125,-0.125
565,angreifbar,a,0.0,-0.625,-0.625
566,angreifen,v,0.0,-0.375,-0.375
567,angreifend,a,0.0,-0.25,-0.25
568,angreifend,a,0.156,-0.312,-0.156
569,angriff,n,0.083,-0.25,-0.16699999999999998
570,angriff und batterie,n,0.0,-0.25,-0.25
571,angriffsfähigkeit,n,0.0,-0.25,-0.25
572,angst,n,0.096,-0.395,-0.299
573,angsthysterie,n,0.125,-0.75,-0.625
574,ängstlich,a,0.21,-0.317,-0.107
575,ängstlichkeit,n,0.125,-0.625,-0.5
576,angstlösend,n,0.25,-0.188,0.062
577,angstmedikament,n,0.0,-0.375,-0.375
578,angstneurose,n,0.125,-0.5,-0.375
